WBAN,City,State,Latitude,Longitude,Temperature Average,Temperature Real Coeff,Temperature Imag Coeff,Temp Deriv Std,Precipitation Average,Wind Speed Coeff Real,Wind Speed Coeff Imag,Wind Speed k,Wind Speed Theta
14853,DETROIT,MI,42.23333,-83.53333,52.1240740741,9.0487461284,23.0391523312,8.38800407678,0.127402777778,-1.35135424039,-1.6019626896,4.01529891505,2.13203074587
14852,YOUNGSTOWN/WARREN,OH,41.25444,-80.67389,50.2178308824,7.21684534397,21.1022968466,8.91920158535,0.2053125,-1.24688596512,-1.52178317618,3.2243908738,2.42370789508
14918,INTERNATIONAL FALLS,MN,48.5614,-93.3981,37.6752529899,10.2513468968,28.5947623228,9.69188785406,0.153063477461,-0.831976890227,-0.505681646903,3.10980470271,2.12018981746
14850,TRAVERSE CITY,MI,44.74083,-85.5825,47.1683532659,10.0166745096,22.2986131035,8.42188857132,0.134296228151,-0.64425159956,-1.04278035354,3.22141825103,1.90080101118
14913,DULUTH,MN,46.8369,-92.1833,41.0979667283,10.9349167767,26.6983240538,8.64186408456,0.164500924214,-0.873529059235,-0.756411158444,3.79418416133,2.49282193646
14910,ALEXANDRIA,MN,45.8679,-95.3941,42.96875,11.4261241828,28.7185123321,8.74021871488,0.0936534926471,-0.783710912714,-0.765588688542,4.02654320455,2.50020600515
14858,HANCOCK,MI,47.16861,-88.48889,40.95716946,10.6366002159,22.7901979722,8.09382227593,0.108268156425,-0.880165770555,-1.1605353296,4.54721756262,2.08783824787
14916,GRAND FORKS,ND,47.9428,-97.1839,41.0340699816,11.0351798212,30.1750236202,9.18816945888,0.0995856353591,-0.967957884602,-1.11388788278,4.37276185772,2.31581770664
14914,FARGO,ND,46.92528,-96.81111,43.5482093664,10.0937559948,29.9822470643,9.28301650005,0.112272727273,-0.950322672606,-0.787965593894,4.60240640091,2.3351859465
94746,WORCESTER,MA,42.2706,-71.8731,49.5295748614,8.10840280297,21.0409995185,7.83673960025,0.227731053604,-1.04505636594,-1.13967648537,3.65366103259,2.65140585733
13737,NORFOLK,VA,36.9033,-76.1922,61.6816513761,6.7766032417,17.4536590801,7.88433015375,0.196155963303,-0.78398642921,-0.297065000481,3.78421001895,2.31541545124
13736,MORGANTOWN,WV,39.64278,-79.91639,54.6038602941,6.3965139868,20.0306001564,8.71266760799,0.168074448529,-1.13055204146,-0.716351114342,2.23706318581,1.95515494368
13735,MILLVILLE,NJ,39.3667,-75.0667,54.689227836,8.79179923847,19.3523855044,8.40638159423,0.175324118208,-1.36919763419,-0.584455056905,3.2362173494,1.84529714954
13734,MARTINSBURG,WV,39.4019,-77.9844,54.8146788991,6.06032176271,20.4488372945,7.75375780163,0.146944954128,-1.30838958166,-1.09357250901,3.58279051223,1.50072659076
13733,LYNCHBURG,VA,37.3208,-79.2067,56.8852157943,5.91074281871,18.7110501605,7.53817092277,0.172699724518,-0.937487740943,-0.620206553843,2.40507499304,1.88360496702
13739,PHILADELPHIA,PA,39.8683,-75.2311,57.3107241063,7.61061877713,20.8117508631,7.27507751152,0.205105407883,-1.16127521951,-0.664709626082,3.59359304185,2.37223288709
24048,GREYBULL,WY,44.51694,-108.08222,47.3155963303,7.41195546983,27.7454686065,7.28108671526,0.0199816513761,-1.17081617417,1.42443619876,4.19154470928,1.55249195723
94194,REXBURG,ID,43.83389,-111.80444,45.0449129239,6.65396798309,23.4427555125,6.91215151496,0.0481209899175,-1.25284336412,0.69417047362,3.87580917298,1.79212155791
04858,NEWARK,OH,40.02278,-82.4625,52.2474513438,6.90570091968,21.3963930553,8.41320590582,0.172784986098,-1.50838023234,-1.35813350435,3.39712622733,1.61323183515
24164,BIG PINEY,WY,42.58444,-110.1075,38.8457300275,7.0567769582,24.230734898,7.01457045812,0.0168870523416,-0.99749161396,1.20402254664,3.07351601362,2.27082944726
